Entity ID,Entity,Payoff,Product IDs,Internal Product ID,Product Name,Underlying(s),Product Creator,Product Create Time,Product Modify Time,Traded,KID Creator,KID Lang,KID Publish Time,Notional CCY,Notional Amount,FX Rate,Notional (EUR),Moderate Price (%),Moderate Return,RIY @RHP (%),KID Date,SRI
73,CA-CIB,EMTN - Fix and Float Income Note,Internal Code-T0jgBraV,95479,EMTN - 5Y Capped and Floored FRN [Coutts], US0003M Index,BADRAN George,8/8/2018,8/8/2018,,NULL,NULL,NULL,USD,NULL,1.1571,NULL,124.31,4.45,0.09,8/8/2018,1
73,CA-CIB,EMTN - CLN on Single,ISIN Code-XS1803953345,95505,EMTN - 5Y EUR CLN Jaguar LR, TAMT5YEUAM=R,BADRAN George,8/9/2018,8/9/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,122.08,3.8,0.4,8/9/2018,6
73,CA-CIB,EMTN - Autocall Basic,Internal Code-mpY7b51b,93974,EMTN - Autocall Athena Semi Sweet Airbag - Kepler, SX5E Index,NULL,5/23/2018,5/23/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
73,CA-CIB,EMTN - Autocall Basic,Internal Code-PMm1ovDp,95159,EMTN - Autocall Basic, SX5E Index,JULIEN COTTIN,7/10/2018,7/10/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,108.73,1.69,0.32,7/10/2018,4
73,CA-CIB,EMTN - Autocall Basic,Internal Code-IJ9JgQvs,95325,EMTN - Autocall Basic, CAC index,Nicolas Gaffie,7/23/2018,7/23/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
73,CA-CIB,EMTN - Autocall Basic,Internal Code-2zcRrWIj,95456,EMTN - Autocall Basic, SX5E Index,CILIO Anthony,8/6/2018,8/8/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,107,1.36,0.41,8/8/2018,5
73,CA-CIB,EMTN - Autocall Basic,ISIN Code-nQJ96I0N,95560,EMTN - Autocall Basic," KO UN Equity, ABI BB Equity, PEP US Equity, SBUX UQ Equity",Jenna Sitruk,8/15/2018,8/15/2018,,NULL,NULL,NULL,USD,NULL,1.1344,NULL,112.19,3.92,0,8/15/2018,5
73,CA-CIB,EMTN - Autocall Basic,Internal Code-uCsGj4KT,95723,EMTN - Autocall Basic, SX5E Index,Milena EMILOVA,9/4/2018,9/4/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,106.78,1.32,0,9/4/2018,2
73,CA-CIB,EMTN - Autocall Basic,Internal Code-91RzhOnx,95202,EMTN - Autocall Basic - SAMPLE," GLE FP Equity, BNP FP Equity, RNO FP Equity, EN FP Equity",Milena EMILOVA,7/12/2018,7/18/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,112.37,2.36,1.95,7/24/2018,6
73,CA-CIB,EMTN - Autocall Basic,Internal Code-QYVRJtC6,95508,EMTN - Autocall Basic - TEST, SX5E Index,CILIO Anthony,8/9/2018,9/19/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,106.89,1.36,0,9/19/2018,3
73,CA-CIB,EMTN - Autocall Basic,ISIN Code-WRXvWmiG,92468,EMTN - Autocall Basic (JSS)," AMZN UQ Equity, DIS UN Equity, NFLX UQ Equity",NULL,3/1/2018,3/5/2018,Traded,NULL,NULL,NULL,EUR,NULL,1,NULL,103.26,NULL,1.47,3/2/2018,4
73,CA-CIB,EMTN - Autocall Basic,Internal Code-D5qzYDat,95873,EMTN - Autocall Basic -SAMPLE - Test Running Fees, SX5E Index,CILIO Anthony,9/14/2018,9/14/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,105.25,1.72,0.34,9/14/2018,4
73,CA-CIB,EMTN - Autocall Daily,Internal Code-KBn4OLyx,95296,EMTN - Autocall Daily_ SAMPLE for CRCA, CAC index,Nicolas Gaffie,7/20/2018,7/23/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,101.73,0.34,0.2,7/23/2018,4
73,CA-CIB,Autocall Daily,ISIN Code-Order For : of - XS1782019993,95331,EMTN - Autocall Daily_ SAMPLE for CRCA, SX5E Index,Nicolas Gaffie,7/24/2018,8/2/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
73,CA-CIB,EMTN - Autocall Basic,Internal Code-wTSQ9bQV,94427,EMTN - Autocall Deep Digit, SX5E Index,NULL,6/5/2018,6/14/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,114.69,1.38,0.18,6/14/2018,2
73,CA-CIB,EMTN - Autocall Protected,Internal Code-ae2CgByr,95477,EMTN - Autocall Protected," SX5E Index, NKY Index, SPX Index",BADRAN George,8/8/2018,8/8/2018,,NULL,NULL,NULL,USD,NULL,1.1571,NULL,122.22,5.14,0.4,8/8/2018,2
73,CA-CIB,EMTN - Autocall Twin Win,Internal Code-hAQAapYx,95455,EMTN - Autocall Twin Win - TEST, SX5E Index,CILIO Anthony,8/6/2018,8/6/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,107.81,1.26,0.34,8/20/2018,5
73,CA-CIB,EMTN - Binary Coupon CLN,Internal Code-OT8540182,93600,EMTN - Binary Coupon CLN," SX5E Index, PTGV5YUSAC=R",NULL,4/27/2018,6/11/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,148.26,4.02,0.32,6/20/2018,4
73,CA-CIB,EMTN - Binary Coupon CLN,Internal Code-OT8276011,94109,EMTN - Binary Coupon CLN," SX5E Index, PTGV5YUSAC=R",NULL,5/24/2018,5/25/2018,Traded,NULL,NULL,NULL,EUR,NULL,1,NULL,137.5,3.24,0.37,5/24/2018,4
73,CA-CIB,EMTN - Binary Coupon CLN,Internal Code-zU638Aod,95249,EMTN - Binary Coupon CLN," SX5E Index, PTGV5YUSAC=R",Faiza CHAOUCH,7/17/2018,7/17/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,132.5,5.79,0.32,7/18/2018,4
73,CA-CIB,EMTN - Binary Coupon CLN,Internal Code-u0J4iW1l,94143,EMTN - Binary Coupon CLN - test," SX5E Index, PTGV5YUSAC=R, ESGV5YUSAC=R",NULL,5/29/2018,6/12/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,130,5.44,0,7/17/2018,1
